method,feature_space,value_view,metric,model_pairs,mean,std,median,iqr,ci95_low,ci95_high,minimum,maximum
integrated_gradients,full_input_channels,absolute,sign_agreement,435,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
integrated_gradients,full_input_channels,absolute,cosine_similarity,435,0.812692043352162,0.052929750799845285,0.806764119634754,0.04579664782934245,0.7318733903365436,0.9828134879665001,0.7106056766282084,0.9932723885183218
integrated_gradients,full_input_channels,signed,spearman,435,0.4398249420556528,0.14651305956565164,0.41212298537764663,0.09612805932428259,0.28318137438375596,0.9404944568402821,0.18682260907112533,0.968201954423115
integrated_gradients,full_input_channels,signed,kendall,435,0.3549505444070004,0.14421110793618086,0.32584660573699353,0.08077053614724233,0.2152441525033588,0.8707763251917994,0.148371180348316,0.9141120703226325
integrated_gradients,full_input_channels,signed,top1_agreement,435,0.43165900383141764,0.1367684419008209,0.4066666666666667,0.1875,0.24641666666666667,0.8474999999999996,0.20333333333333334,0.9366666666666666
integrated_gradients,full_input_channels,signed,top3_jaccard,435,0.32063984674329504,0.12954535804523098,0.3035,0.13566666666666677,0.16585833333333333,0.7738666666666666,0.133,0.8843333333333334
integrated_gradients,full_input_channels,signed,sign_agreement,435,0.7345328568208894,0.06000488239608889,0.7231372549019608,0.037619047619047774,0.6714971988795518,0.9490343137254902,0.650014005602241,0.9670448179271709
integrated_gradients,full_input_channels,signed,cosine_similarity,435,0.6265061192155016,0.11362334808698484,0.6120235873510961,0.09773583867545865,0.44915728095534013,0.9789837322264062,0.37764311279384283,0.9917547388861262
integrated_gradients,proxy_concept_v_only,absolute,spearman,435,0.8200247126436779,0.051023560418253615,0.8119583333333331,0.06352083333333336,0.7218166666666664,0.9363229166666664,0.6790833333333333,0.9686666666666666
integrated_gradients,proxy_concept_v_only,absolute,kendall,435,0.7365237000547346,0.06228568714888176,0.7258571428571428,0.07273809523809527,0.6217142857142857,0.8876952380952381,0.5733809523809524,0.9440000000000002
integrated_gradients,proxy_concept_v_only,absolute,top1_agreement,435,0.7219885057471266,0.06416284023693553,0.7183333333333334,0.07999999999999996,0.61,0.8888333333333333,0.5766666666666667,0.9316666666666666
integrated_gradients,proxy_concept_v_only,absolute,top3_jaccard,435,0.8304919540229885,0.039855146051769985,0.8256666666666667,0.04741666666666655,0.7550083333333333,0.921825,0.7198333333333333,0.9608333333333333
integrated_gradients,proxy_concept_v_only,absolute,sign_agreement,435,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
integrated_gradients,proxy_concept_v_only,absolute,cosine_similarity,435,0.9694041456477618,0.010290335286005646,0.9694508989795274,0.011596404117209635,0.9475256079007897,0.9937127629518108,0.9390477333952778,0.9968017471836296
integrated_gradients,proxy_concept_v_only,signed,spearman,435,0.7803374521072796,0.051186223584913274,0.7715416666666663,0.05166666666666675,0.7013645833333332,0.9295958333333332,0.6588749999999999,0.9639999999999997
integrated_gradients,proxy_concept_v_only,signed,kendall,435,0.6975184455391352,0.06014833824475225,0.6876666666666668,0.05514285714285716,0.6085952380952382,0.8850357142857143,0.5624285714285714,0.9343333333333333
integrated_gradients,proxy_concept_v_only,signed,top1_agreement,435,0.6593908045977013,0.061974409739930396,0.6516666666666666,0.04833333333333334,0.57,0.8685833333333333,0.5266666666666666,0.9283333333333333
integrated_gradients,proxy_concept_v_only,signed,top3_jaccard,435,0.705272796934866,0.04514300158533468,0.6971666666666667,0.03641666666666665,0.6483666666666666,0.8565416666666666,0.6265,0.9108333333333334
integrated_gradients,proxy_concept_v_only,signed,sign_agreement,435,0.8645900383141764,0.029259372140178333,0.8616666666666667,0.02733333333333321,0.81485,0.9503833333333332,0.7846666666666666,0.9733333333333334
integrated_gradients,proxy_concept_v_only,signed,cosine_similarity,435,0.8440774060919393,0.04657831051539169,0.8387293683550138,0.0491431359943858,0.7635655111517685,0.9743200790915323,0.7301963083805727,0.990742934631088
integrated_gradients,proxy_concept_vmd,absolute,spearman,435,0.824170498084291,0.05232857914390424,0.8234999999999998,0.06066666666666665,0.7260666666666665,0.9606999999999999,0.6641666666666665,0.9758333333333331
integrated_gradients,proxy_concept_vmd,absolute,kendall,435,0.7289363984674329,0.06939703583362322,0.7236666666666667,0.07733333333333348,0.6129166666666667,0.9258833333333334,0.538,0.9536666666666668
integrated_gradients,proxy_concept_vmd,absolute,top1_agreement,435,0.6518199233716474,0.10988934298876792,0.6383333333333333,0.1383333333333333,0.45975,0.90025,0.4116666666666667,0.9666666666666667
integrated_gradients,proxy_concept_vmd,absolute,top3_jaccard,435,0.8496398467432951,0.048041879568776036,0.8583333333333333,0.06191666666666662,0.7513,0.9560833333333333,0.7108333333333333,0.9758333333333333
integrated_gradients,proxy_concept_vmd,absolute,sign_agreement,435,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
