control,control_index,method,model_pairs,mean_pair_spearman,median_pair_spearman,minimum_pair_spearman,maximum_pair_spearman
random_same_size,17,gradient_shap,435,0.6405674329501914,0.6318333333333331,0.43033333333333323,0.9431666666666665
random_same_size,18,integrated_gradients,435,0.7445996168582374,0.7371666666666666,0.6173333333333332,0.9581666666666666
random_same_size,18,gradient_shap,435,0.8211727969348658,0.8201666666666665,0.7024999999999998,0.9663333333333333
random_same_size,19,integrated_gradients,435,0.6557380217785843,0.6461315789473683,0.4562105263157894,0.9551666666666665
random_same_size,19,gradient_shap,435,0.7678850574712641,0.7613333333333332,0.6283333333333332,0.9564999999999998
random_same_size,20,integrated_gradients,435,0.6510544464609799,0.6361403508771928,0.48525438596491216,0.9606403508771928
random_same_size,20,gradient_shap,435,0.7356459770114941,0.7319999999999999,0.5831666666666664,0.9549999999999998
random_same_size,21,integrated_gradients,435,0.6784099616858236,0.6638333333333332,0.5135,0.9608333333333331
random_same_size,21,gradient_shap,435,0.7605168582375477,0.7561666666666664,0.5866666666666666,0.9691666666666665
random_same_size,22,integrated_gradients,435,0.6935185521274448,0.6839122807017542,0.5004122807017543,0.9548245614035085
random_same_size,22,gradient_shap,435,0.8170118773946358,0.8133333333333331,0.7093333333333331,0.9583333333333331
random_same_size,23,integrated_gradients,435,0.6928269005847952,0.6882631578947367,0.5030526315789473,0.9586052631578945
random_same_size,23,gradient_shap,435,0.796622988505747,0.7919999999999998,0.6548333333333332,0.9639999999999997
random_same_size,24,integrated_gradients,435,0.6520921556765475,0.6436052631578946,0.47771052631578936,0.9554298245614034
random_same_size,24,gradient_shap,435,0.7357287356321837,0.7298333333333332,0.5791666666666665,0.9531666666666664
random_same_size,25,integrated_gradients,435,0.6836375680580761,0.6747192982456138,0.48488596491228064,0.9496491228070173
random_same_size,25,gradient_shap,435,0.7778570881226051,0.7719999999999999,0.6539999999999999,0.9549999999999996
random_same_size,26,integrated_gradients,435,0.7499199032062914,0.7414912280701752,0.629877192982456,0.9618333333333332
random_same_size,26,gradient_shap,435,0.8317482758620688,0.8299999999999998,0.7488333333333331,0.9664999999999998
random_same_size,27,integrated_gradients,435,0.6644907541843111,0.6531710526315788,0.48568421052631566,0.9503245614035086
