model_arm,reporting_state,metric,n,mean,std,median,q25,q75,ci95_low,ci95_high
PlainTransformer,raw,AUPRC,30,0.43949628683404174,0.02662524155535481,0.43742894973272206,0.4200133001426777,0.4535823183293114,0.43053605504001147,0.4492090859204278
PlainTransformer,raw,Brier,30,0.16304792539186866,0.02373713888327295,0.15958548156725388,0.1409969682167752,0.1780564760574067,0.15469215728123578,0.1714277093962952
PlainTransformer,raw,NLL,30,0.4843156316902007,0.05910521805535984,0.46913069101246996,0.4296993853407935,0.5245337395404159,0.4647975941239145,0.5052043888130341
PlainTransformer,raw,ECE10,30,0.17802781376656338,0.045935969092646085,0.17180018909985362,0.136061454504121,0.21556235689643205,0.16212196862960654,0.19429970536565205
PlainTransformer,raw,ECE15,30,0.1799926959368972,0.04498922452488939,0.17410574083756963,0.14152956601334954,0.21782320322290546,0.16446408859628867,0.19586556231356503
PlainTransformer,raw,ECE20,30,0.1816148602123102,0.04422461982775928,0.17804042136846515,0.14111147133226967,0.2180246984179474,0.16646750326559823,0.19716998371127994
PlainTransformer,raw,calibration_slope,30,0.6223736426185612,0.09571968353991227,0.6318982455254898,0.5502163376426329,0.691150304379509,0.5871368684589388,0.6548197386586924
PlainTransformer,raw,calibration_intercept,30,-1.509348167893956,0.2550616691869467,-1.516810079594614,-1.7168262203842342,-1.2936321700138202,-1.5971929298850642,-1.419814103737949
PureNoFuzzy,primary_calibrated,AUROC,30,0.7587786348488732,0.04576302912157111,0.7683810677914753,0.7263230873202675,0.8013446435645871,0.7424550523175875,0.7739553572122144
PureNoFuzzy,primary_calibrated,AUPRC,30,0.3306671783010375,0.056110400293390574,0.322578378155671,0.2980112228672819,0.37966239269643715,0.3119438190842236,0.35004671769840284
PureNoFuzzy,primary_calibrated,Brier,30,0.10923278337203503,0.005542824354685196,0.10749842325283777,0.1054029151430154,0.11122657656044072,0.10739710337379041,0.11130132511923942
PureNoFuzzy,primary_calibrated,NLL,30,0.3617301622057371,0.024771713468039226,0.3523696793735517,0.3424237483969493,0.38290908726076933,0.3534924475192338,0.3705898982892232
PureNoFuzzy,primary_calibrated,ECE10,30,0.046343073639442636,0.015318564803619605,0.04341827677160526,0.035177413516943465,0.050838874257345845,0.04116940022706594,0.05242611345754312
PureNoFuzzy,primary_calibrated,ECE15,30,0.05167368054058076,0.015419242870241745,0.04912327381243531,0.0416135011242697,0.05636783888757044,0.0465359627698685,0.0575881541944375
PureNoFuzzy,primary_calibrated,ECE20,30,0.05715502423045154,0.013664719376676102,0.0544667879001198,0.04650270987621129,0.06331443919859378,0.052502626673951475,0.06244338381727543
PureNoFuzzy,primary_calibrated,calibration_slope,30,0.705407509839413,0.08459438486243323,0.7146017786095653,0.659610742991223,0.7688245653356566,0.6746105709934658,0.7345215907337289
PureNoFuzzy,primary_calibrated,calibration_intercept,30,-0.42895498235057583,0.12727863998146016,-0.41805630318511594,-0.4799946261826887,-0.34060219305363204,-0.4755794151824545,-0.3879852545853444
PureNoFuzzy,raw,AUROC,30,0.7587786348488732,0.04576302912157111,0.7683810677914753,0.7263230873202675,0.8013446435645871,0.7424550523175875,0.7739553572122144
PureNoFuzzy,raw,AUPRC,30,0.3306671783010375,0.056110400293390574,0.322578378155671,0.2980112228672819,0.37966239269643715,0.3119438190842236,0.35004671769840284
PureNoFuzzy,raw,Brier,30,0.12932329022051112,0.016458983149018225,0.123624359972858,0.11398571653131437,0.14465256226878306,0.12376486851085912,0.13530538808699755
PureNoFuzzy,raw,NLL,30,0.4211961148025173,0.04114860692538873,0.41596755841693367,0.38189135011618264,0.4612743912618962,0.40671391677931773,0.4360539369193324
PureNoFuzzy,raw,ECE10,30,0.12525587407833325,0.04893485152459156,0.1111559749247859,0.08086809771509508,0.17532274285145352,0.10831306465449311,0.14271816916024185
PureNoFuzzy,raw,ECE15,30,0.1275499405393842,0.04860461642315645,0.11098507610905962,0.08316817791891379,0.1756670248921698,0.11074548371894483,0.14488035003370736
PureNoFuzzy,raw,ECE20,30,0.12982139102971077,0.047082319997778774,0.1182319418924773,0.08587222004454365,0.17629434604380143,0.11361246498602945,0.14678657459710473
PureNoFuzzy,raw,calibration_slope,30,12.510563744677405,23.072247565533964,2.519734342946756,0.8239664213049178,12.06563681477678,5.36829752644859,21.52040929946426
PureNoFuzzy,raw,calibration_intercept,30,11.499979796877975,25.827981733951457,1.4323550490174795,-0.47591957983841593,6.967783077007612,3.6522544353695072,21.96392771219913
TemporalCEM,primary_calibrated,AUROC,30,0.7673918109575634,0.03282039844601157,0.7768346111719606,0.7583137190930065,0.7897334016918739,0.7551741977581506,0.7783836021066859
TemporalCEM,primary_calibrated,AUPRC,30,0.34056606285033797,0.03999868533515473,0.3446834755920408,0.31087886822925404,0.3715833862531901,0.3261860574951564,0.3543889781338832
TemporalCEM,primary_calibrated,Brier,30,0.10827973817090648,0.0023341867087305584,0.10819176309646211,0.10661646455732576,0.10925496637947255,0.10747796267101911,0.10911889541755623
TemporalCEM,primary_calibrated,NLL,30,0.3565529191237736,0.011791507490628593,0.3552421139933496,0.34759569045224403,0.36002405366086565,0.35264770613090285,0.36093510750911967
TemporalCEM,primary_calibrated,ECE10,30,0.04436188934119683,0.013409529023063737,0.043990867536790615,0.03599197970387635,0.05300131412902988,0.03984989520558546,0.04899683810143963
TemporalCEM,primary_calibrated,ECE15,30,0.049174810645614846,0.01188933956555712,0.04785924055877554,0.043281494564671945,0.05836135684048999,0.044988003472284245,0.05322619630235712
TemporalCEM,primary_calibrated,ECE20,30,0.0555431862890121,0.011505696759365944,0.056153104024303645,0.046235245750469875,0.0615549011731771,0.05140726429037645,0.05957297282784575
TemporalCEM,primary_calibrated,calibration_slope,30,0.7161268963643989,0.07994731242611995,0.7075250403242777,0.6663306142837999,0.7775665051976342,0.6867962089676499,0.7444035758536384
TemporalCEM,primary_calibrated,calibration_intercept,30,-0.41234215504610133,0.10729025758038284,-0.41052180917426195,-0.5057798549773519,-0.3332784679244965,-0.4513809411328315,-0.37417368689832214
TemporalCEM,raw,AUROC,30,0.7673918109575634,0.03282039844601157,0.7768346111719606,0.7583137190930065,0.7897334016918739,0.7551741977581506,0.7783836021066859
TemporalCEM,raw,AUPRC,30,0.34056606285033797,0.03999868533515473,0.3446834755920408,0.31087886822925404,0.3715833862531901,0.3261860574951564,0.3543889781338832
TemporalCEM,raw,Brier,30,0.12038055122973587,0.005860658817877839,0.11888067151531666,0.11757877187662674,0.12059423940343854,0.11844070263713385,0.12265517190230835
TemporalCEM,raw,NLL,30,0.402371745067682,0.014484250245027462,0.40095399696661704,0.3949687368440367,0.405466048495197,0.39749764590678094,0.4078995464579325
TemporalCEM,raw,ECE10,30,0.10871521930134166,0.022262109298485266,0.10685349277870504,0.09686550836907921,0.11715850114707171,0.1005772155425788,0.11671707735737914
TemporalCEM,raw,ECE15,30,0.11099792004564625,0.02244675114640672,0.10885975173874482,0.10004528510591364,0.12190215888896076,0.10260975110318814,0.11880644385669353
TemporalCEM,raw,ECE20,30,0.11408435578593637,0.021296250124823824,0.11358735721135677,0.09997069515989837,0.12305790528622328,0.10626690190556826,0.1216251391750866
TemporalCEM,raw,calibration_slope,30,10.44027431282314,12.973884267636238,4.514284496204533,2.407292232799475,13.184071295827295,6.117952943378252,15.299589490490884
TemporalCEM,raw,calibration_intercept,30,14.145853381069763,22.155960748353575,3.397140856328788,0.6592857613832652,22.766510419452803,6.929760316479972,22.69077727348359
